high_low,cumle,cumlenin_sorusu
high,Spor müdürlüğünün duyurusuna göre şehir maratonu için kayıtlar başladı.,Bu habere göre şehir maratonuna kayıt yaptırma ihtimaliniz nedir? (1–7)
high,Spor müdürlüğünün duyurusuna göre şehir maratonu için kayıtlar başlamış.,Bu habere göre şehir maratonuna kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir koşu topluluğuna göre şehir maratonu için kayıtlar başladı.,Bu habere göre şehir maratonuna kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir koşu topluluğuna göre şehir maratonu için kayıtlar başlamış.,Bu habere göre şehir maratonuna kayıt yaptırma ihtimaliniz nedir? (1–7)
high,Belediyenin sosyal hizmetler birimine göre ücretsiz aile danışmanlığı merkezi açıldı.,Bu habere göre aile danışmanlığı merkezinden randevu alma ihtimaliniz nedir? (1–7)
high,Belediyenin sosyal hizmetler birimine göre ücretsiz aile danışmanlığı merkezi açılmış.,Bu habere göre aile danışmanlığı merkezinden randevu alma ihtimaliniz nedir? (1–7)
low,Bir mahalle sayfasına göre ücretsiz aile danışmanlığı merkezi açıldı.,Bu habere göre aile danışmanlığı merkezinden randevu alma ihtimaliniz nedir? (1–7)
low,Bir mahalle sayfasına göre ücretsiz aile danışmanlığı merkezi açılmış.,Bu habere göre aile danışmanlığı merkezinden randevu alma ihtimaliniz nedir? (1–7)
high,Ulaşım koordinasyon merkezine göre şehirdeki taksi ücreti tarifesi güncellendi.,Bu habere göre taksiye binmeden önce ücreti kontrol etme ihtimaliniz nedir? (1–7)
high,Ulaşım koordinasyon merkezine göre şehirdeki taksi ücreti tarifesi güncellenmiş.,Bu habere göre taksiye binmeden önce ücreti kontrol etme ihtimaliniz nedir? (1–7)
low,Bir taksi şoförünün paylaşımına göre şehirdeki taksi ücreti tarifesi güncellendi.,Bu habere göre taksiye binmeden önce ücreti kontrol etme ihtimaliniz nedir? (1–7)
low,Bir taksi şoförünün paylaşımına göre şehirdeki taksi ücreti tarifesi güncellenmiş.,Bu habere göre taksiye binmeden önce ücreti kontrol etme ihtimaliniz nedir? (1–7)
high,Ulaşım dairesinin açıklamasına göre metro girişine yeni kart dolum noktası kuruldu.,Bu habere göre kart dolum noktasını kullanma ihtimaliniz nedir? (1–7)
high,Ulaşım dairesinin açıklamasına göre metro girişine yeni kart dolum noktası kurulmuş.,Bu habere göre kart dolum noktasını kullanma ihtimaliniz nedir? (1–7)
low,Bir yolcu grubuna göre metro girişine yeni kart dolum noktası kuruldu.,Bu habere göre kart dolum noktasını kullanma ihtimaliniz nedir? (1–7)
low,Bir yolcu grubuna göre metro girişine yeni kart dolum noktası kurulmuş.,Bu habere göre kart dolum noktasını kullanma ihtimaliniz nedir? (1–7)
high,Üniversitenin bilgi işlem dairesine göre dijital öğrenci kartı uygulaması başladı.,Bu habere göre dijital öğrenci kartını kullanma ihtimaliniz nedir? (1–7)
high,Üniversitenin bilgi işlem dairesine göre dijital öğrenci kartı uygulaması başlamış.,Bu habere göre dijital öğrenci kartını kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci forumuna göre dijital öğrenci kartı uygulaması başladı.,Bu habere göre dijital öğrenci kartını kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci forumuna göre dijital öğrenci kartı uygulaması başlamış.,Bu habere göre dijital öğrenci kartını kullanma ihtimaliniz nedir? (1–7)
high,Belediyenin kültür merkezi duyurusuna göre hafta sonu ücretsiz çocuk atölyesi açıldı.,Bu habere göre çocuğunuzu atölyeye götürme ihtimaliniz nedir? (1–7)
high,Belediyenin kültür merkezi duyurusuna göre hafta sonu ücretsiz çocuk atölyesi açılmış.,Bu habere göre çocuğunuzu atölyeye götürme ihtimaliniz nedir? (1–7)
low,Bir ebeveyn grubuna göre hafta sonu ücretsiz çocuk atölyesi açıldı.,Bu habere göre çocuğunuzu atölyeye götürme ihtimaliniz nedir? (1–7)
low,Bir ebeveyn grubuna göre hafta sonu ücretsiz çocuk atölyesi açılmış.,Bu habere göre çocuğunuzu atölyeye götürme ihtimaliniz nedir? (1–7)
high,Halk eğitim merkezinin duyurusuna göre yeni bilgisayar kursu kayıtları başladı.,Bu habere göre halk eğitim kursuna başvurma ihtimaliniz nedir? (1–7)
high,Halk eğitim merkezinin duyurusuna göre yeni bilgisayar kursu kayıtları başlamış.,Bu habere göre halk eğitim kursuna başvurma ihtimaliniz nedir? (1–7)
low,Bir mahalle grubuna göre yeni bilgisayar kursu kayıtları başladı.,Bu habere göre halk eğitim kursuna başvurma ihtimaliniz nedir? (1–7)
low,Bir mahalle grubuna göre yeni bilgisayar kursu kayıtları başlamış.,Bu habere göre halk eğitim kursuna başvurma ihtimaliniz nedir? (1–7)
high,Belediyenin turizm birimine göre orman içindeki yeni yürüyüş rotası işaretlendi.,Bu habere göre yeni yürüyüş rotasını kullanma ihtimaliniz nedir? (1–7)
high,Belediyenin turizm birimine göre orman içindeki yeni yürüyüş rotası işaretlenmiş.,Bu habere göre yeni yürüyüş rotasını kullanma ihtimaliniz nedir? (1–7)
low,Bir doğa yürüyüşü grubuna göre orman içindeki yeni yürüyüş rotası işaretlendi.,Bu habere göre yeni yürüyüş rotasını kullanma ihtimaliniz nedir? (1–7)
low,Bir doğa yürüyüşü grubuna göre orman içindeki yeni yürüyüş rotası işaretlenmiş.,Bu habere göre yeni yürüyüş rotasını kullanma ihtimaliniz nedir? (1–7)
high,Üniversitenin yapı işleri birimine göre kampüsteki yürüyüş yollarına ek aydınlatma yerleştirildi.,Bu habere göre akşam saatlerinde kampüste yürüme ihtimaliniz nedir? (1–7)
high,Üniversitenin yapı işleri birimine göre kampüsteki yürüyüş yollarına ek aydınlatma yerleştirilmiş.,Bu habere göre akşam saatlerinde kampüste yürüme ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre kampüsteki yürüyüş yollarına ek aydınlatma yerleştirildi.,Bu habere göre akşam saatlerinde kampüste yürüme ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre kampüsteki yürüyüş yollarına ek aydınlatma yerleştirilmiş.,Bu habere göre akşam saatlerinde kampüste yürüme ihtimaliniz nedir? (1–7)
high,Üniversitenin spor koordinatörlüğüne göre fakülteler arası voleybol turnuvası kayıtları açıldı.,Bu habere göre voleybol turnuvasına kayıt yaptırma ihtimaliniz nedir? (1–7)
high,Üniversitenin spor koordinatörlüğüne göre fakülteler arası voleybol turnuvası kayıtları açılmış.,Bu habere göre voleybol turnuvasına kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir öğrenci kulübü paylaşımına göre fakülteler arası voleybol turnuvası kayıtları açıldı.,Bu habere göre voleybol turnuvasına kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir öğrenci kulübü paylaşımına göre fakülteler arası voleybol turnuvası kayıtları açılmış.,Bu habere göre voleybol turnuvasına kayıt yaptırma ihtimaliniz nedir? (1–7)
